"Core1","Core2","Core3","Core4","TempCPU1","TempCPU2","TempCPU3","TempCPU4","CPU1","CPU2","CPU3","CPU4","Memory","TempMemory","SpaceMemory"
"3.125","4.6875","7.8125","4.6875","36","34","37","35","1200.00024","2000.00037","2000.00037","2000.00037","71.49367","34","75.18609"
"6.25","7.8125","10.9375","12.5","36","34","36","34","800.0008","800.0008","800.0008","800.0008","71.4781","34","75.18609"
"10.9375","10.9375","9.375","14.0625","36","36","38","35","2500.003","2500.003","2500.003","2500.003","71.4982147","34","75.1861343"
"7.8125","6.25","4.615384","7.8125","37","34","37","35","1300.00146","800.0009","800.0009","800.0009","71.51958","34","75.1861343"
"6.25","6.25","3.125","3.125","35","34","36","34","800.0001","3300.00049","1200.00012","2400.00024","71.49898","34","75.1861343"
"14.0625","14.0625","10.9375","17.1875","36","36","37","36","800.0004","2000.001","2800.00146","3200.00171","71.4079361","34","75.1861343"
"9.375","12.5","6.349206","15.625","37","35","37","35","3300.004","3300.004","3300.004","3100.00366","71.48969","34","75.1861343"
"12.5","4.6875","10.76923","9.375","36","34","37","35","800.0002","800.0002","800.0002","800.0002","71.53729","34","75.1861343"
"14.0625","10.9375","12.5","17.1875","35","34","36","35","1000.00128","800.001038","800.001038","3300.00415","71.5387344","34","75.1861343"
"9.375","4.6875","1.5625","6.25","36","34","37","35","2200.00171","1300.001","800.0006","800.0006","71.4043","34","75.1861343"
"7.8125","9.375","14.0625","12.5","38","36","39","37","3300.00146","3300.00146","3300.00146","3300.00146","71.28025","34","75.1861343"
"12.5","15.625","7.8125","18.75","36","34","37","35","800.0002","800.0002","800.0002","800.0002","71.22982","34","75.1861343"
"6.25","1.5625","3.125","14.0625","36","35","37","35","3300.00439","3300.00439","3300.00439","3300.00439","71.27091","34","75.1861343"
"3.125","4.6875","4.76190472","6.25","35","34","37","34","799.999939","799.999939","1999.99976","3199.99976","71.22714","34","75.1861343"
"10.9375","12.5","10.76923","6.25","36","34","37","34","800.0005","1600.001","2800.00171","3300.002","71.36335","34","75.1861343"
"9.375","9.375","9.375","12.5","35","35","36","34","800.0006","800.0006","800.0006","800.0006","71.3634949","34","75.1861343"
"7.8125","1.5625","1.58730149","3.125","35","34","37","34","1300.00171","1000.00128","1000.00128","3300.00415","71.29716","34","75.1861343"
"29.6875","23.4375","26.1538448","26.5625","36","34","36","35","800.000061","1600.00012","2400.00024","3300.00024","71.29749","34","75.1861343"
"7.8125","18.75","15.625","14.0625","35","35","37","35","2200.003","1300.00171","1000.00128","1000.00128","71.26153","34","75.1861343"
"4.6875","6.25","1.5625","3.125","35","34","36","35","1700.0011","800.0005","800.0005","800.0005","71.42465","34","75.1861343"
"9.375","3.125","9.375","1.5625","35","35","36","34","799.9998","799.9998","799.9998","3399.99927","71.3859","34","75.1861343"
"3.125","1.5625","4.76190472","6.25","36","34","38","37","3300.00513","3100.005","3300.00513","3300.00513","71.38691","34","75.1861343"
"6.25","9.375","12.5","12.5","35","34","36","35","1200.00012","1600.00012","2000.00024","2000.00024","71.37604","34","75.1861343"
"9.375","6.25","3.076923","7.8125","36","34","38","35","3300.004","3300.004","3300.004","3300.004","71.3956757","34","75.1861343"
"7.8125","15.625","9.375","9.375","36","35","39","35","3300.00122","3300.00122","3300.00122","3300.00122","71.25262","34","75.1861343"
"4.6875","3.125","3.174603","3.125","35","34","36","35","800.0001","800.0001","3300.00049","3300.00049","71.370575","34","75.1861343"
"9.375","12.5","10.76923","15.625","35","34","36","34","800.0005","800.0005","800.0005","3300.002","71.37614","34","75.1861343"
"4.6875","3.125","1.5625","3.125","35","34","37","35","1700.00208","800.001","800.001","800.001","71.34611","34","75.1861343"
"3.125","1.5625","1.5625","1.5625","35","34","36","35","800.000061","800.000061","800.000061","3300.00024","71.3360443","34","75.1861343"
"4.6875","3.125","10.9375","1.5625","35","34","37","34","800.0005","800.0005","800.0005","800.0005","71.31627","34","75.1861343"
"4.6875","6.25","7.8125","6.25","36","40","36","35","3300.005","3300.005","3300.005","3300.005","71.34979","34","75.1861343"
"4.6875","3.125","6.25","10.9375","36","34","36","35","800","800","800","800","71.34855","34","75.18616"
"15.625","29.6875","15.625","28.125","37","38","42","36","3300.0022","3300.0022","2800.002","1900.00122","71.27705","34","75.18616"
"10.9375","15.625","10.9375","14.0625","37","39","39","36","3300.00244","3300.00244","3300.00244","3300.00244","71.3213959","34","75.18616"
"15.625","4.6875","7.8125","10.9375","35","34","36","35","1600.00049","1600.00049","1600.00049","1600.00049","71.475174","34","75.18616"
"10.9375","10.9375","11.1111107","10.9375","37","35","38","35","3300.00342","3300.00342","3300.00342","3300.00342","71.2871","34","75.18616"
"17.1875","17.1875","18.4615364","23.4375","36","35","37","35","3300.00171","3300.00171","3300.00171","3300.00171","71.41225","34","75.18616"
"7.8125","10.9375","15.625","10.9375","37","36","38","36","3300.0022","800.000549","800.000549","2000.00134","71.39668","34","75.18616"
"9.375","7.8125","7.8125","9.375","36","34","37","35","2000.00037","3300.00049","3300.00049","3300.00049","71.39563","34","75.18616"
"32.8125","45.3125","43.75","43.75","42","42","42","42","3300.00342","3300.00342","3300.00342","3300.00342","72.07586","34","75.18616"
"57.8125","60.9375","57.8125","62.5","37","37","37","36","2000.00146","1700.00122","800.0006","800.0006","72.54569","34","75.18616"
"23.4375","21.875","21.875","21.875","36","36","37","35","1000.00018","800.0001","800.0001","800.0001","72.46173","34","75.18616"
"10.9375","15.625","19.0476189","6.25","36","35","37","35","2800.00342","1600.00208","800.001038","800.001038","71.8998947","34","75.18616"
"3.125","6.25","6.153846","9.375","36","35","37","35","1000","1000","1400","3300","71.80593","34","75.18616"
"12.5","12.5","15.625","15.625","38","35","38","35","3300.00366","3300.00366","3300.00366","3300.00366","71.83725","34","75.18616"
"17.1875","21.875","17.1875","17.1875","36","35","37","35","800","800","800","800","71.82829","34","75.18616"
"10.9375","4.6875","7.8125","6.25","36","34","36","35","800.0007","800.0007","800.0007","800.0007","71.84908","34","75.18616"
"6.25","4.6875","10.9375","6.25","35","35","36","35","2000.002","1100.0011","800.0008","800.0008","71.8563156","34","75.18616"
"9.375","9.375","14.0625","10.9375","36","35","37","35","1600.00037","1600.00037","2900.00073","3300.00073","71.7994156","34","75.18616"
"24.6153831","18.4615364","23.0769215","19.9999981","37","36","37","35","3200.00171","3300.00171","3300.00171","3300.00171","72.2637939","34","75.18616"
"20.63492","25.3968239","22.2222214","20.63492","38","37","39","36","3300.00415","3300.00415","1200.00159","3300.00415","72.22418","34","75.18616"
"23.4375","12.5","12.5","17.1875","36","34","37","35","800.000061","800.000061","800.000061","800.000061","72.1287842","34","75.18616"
"10.9375","10.9375","10.9375","12.5","36","34","36","35","800.0005","800.0005","800.0005","800.0005","71.9895","34","75.18616"
"12.5","12.5","7.8125","9.375","35","34","36","35","800.000366","800.000366","800.000366","1200.00061","72.100235","34","75.18616"
"12.5","12.5","12.5","6.25","36","35","37","35","800.000549","800.000549","800.000549","800.000549","72.00636","34","75.18616"
"31.25","23.4375","28.125","29.6875","37","36","39","37","3300.005","3300.005","3000.00439","2100.00317","72.08654","34","75.18616"
"10.9375","20.3125","10.9375","15.625","36","36","37","35","2799.99927","3199.99927","3199.99927","2899.99927","72.3236542","34","75.18616"
"21.875","18.75","20.3125","18.75","36","35","37","35","800.0006","800.0006","800.0006","800.0006","72.1493759","34","75.18616"
"7.8125","9.375","7.8125","7.8125","37","35","38","36","3300.00439","3300.00439","3300.00439","3300.00439","72.1407","34","75.18616"
"17.1875","18.75","10.9375","20.3125","36","34","37","35","800","800","800","800","71.9122543","34","75.18616"
"15.625","15.625","9.375","14.0625","37","36","38","36","2700.004","1800.00256","1200.00171","800.00116","71.91666","34","75.18594"
"14.0625","12.5","14.0625","17.1875","36","35","37","35","799.999634","1599.99927","1999.999","1999.999","72.02074","34","75.18594"
"7.8125","18.75","17.1875","14.0625","36","35","37","35","3300.00562","3300.00562","3300.00562","3300.00562","72.12863","34","75.18594"
"7.8125","10.9375","9.375","6.25","36","35","37","35","1600.00073","800.000366","800.000366","3300.00146","71.98012","34","75.18594"
"20.3125","21.875","18.75","21.875","36","35","37","35","800.000061","800.000061","800.000061","800.000061","72.1397","34","75.18594"
"6.25","14.0625","6.25","7.8125","36","35","38","35","2200.003","1900.00244","1900.00244","1300.00171","72.12581","34","75.18594"
"12.5","7.8125","14.0625","17.1875","37","36","38","36","800.0003","1200.00049","2000.00073","3200.00122","72.09123","34","75.18594"
"17.1875","18.75","7.8125","15.625","36","36","37","36","1600.0011","1600.0011","1600.0011","1600.0011","72.0725","34","75.18594"
"12.5","10.9375","1.58730149","7.8125","36","34","37","35","1000.00006","800.000061","800.000061","800.000061","72.07485","34","75.18594"
"9.375","6.25","4.615384","10.9375","36","34","37","35","800.0004","800.0004","800.0004","800.0004","72.05881","34","75.18594"
"29.6875","17.1875","18.75","17.1875","37","35","37","35","1600.00183","2000.00232","2000.00232","1700.002","72.04611","34","75.18594"
"6.25","7.8125","9.375","7.8125","35","34","36","35","800.0001","800.0001","800.0001","800.0001","72.00641","34","75.18594"
"12.5","7.8125","4.6875","3.125","36","34","37","35","800.0008","800.0008","800.0008","800.0008","72.0510941","34","75.18594"
"6.25","7.8125","6.25","4.6875","35","34","37","35","800.0004","800.0004","800.0004","800.0004","72.05359","34","75.18594"
"10.9375","10.9375","12.5","12.5","38","38","39","37","3300.00439","3300.00439","3300.00439","3300.00439","72.07773","34","75.18594"
"12.5","9.375","10.9375","12.5","36","34","37","35","2000.00024","3300.00049","3300.00049","800.0001","72.08141","34","75.18594"
"12.5","7.8125","12.5","14.0625","36","34","37","35","2400.00269","2100.00244","1200.00134","800.0009","72.0721741","34","75.18594"
"7.8125","6.25","9.375","12.5","36","34","36","35","799.999939","799.999939","799.999939","799.999939","72.01456","34","75.18594"
"7.8125","7.8125","6.25","9.375","36","35","37","35","1600.002","1600.002","1600.002","2000.00244","72.0702057","34","75.18594"
"10.9375","4.6875","4.76190472","12.5","36","34","37","35","800.0001","3300.00049","3300.00049","3200.00049","72.08026","34","75.18594"
"7.8125","6.25","6.153846","17.1875","37","36","39","38","3300.00464","3300.00464","3300.00464","800.00116","72.0843353","34","75.18594"
"18.75","20.3125","10.9375","10.9375","36","34","37","35","800","800","800","3300","72.06734","34","75.18594"
"12.5","15.625","12.5","17.1875","41","41","43","40","3300.004","3300.004","3300.004","3300.004","72.1724548","34","75.18594"
"25","23.4375","20.3125","29.6875","36","34","37","35","1199.99988","1199.99988","1199.99988","1999.99976","72.2749939","34","75.18594"
"17.1875","18.75","9.375","17.1875","37","35","38","35","3300.005","3100.00439","2800.00415","3300.005","72.27136","34","75.18594"
"17.1875","14.0625","18.75","17.1875","40","38","40","37","3300.00244","3300.00244","3300.00244","3300.00244","72.32764","34","75.18594"
"12.5","17.1875","17.1875","18.75","37","35","38","35","3300.0022","3300.0022","3300.0022","3300.0022","72.312645","34","75.18594"
"15.625","9.375","12.5","10.9375","36","34","37","35","2900","3300.00024","3300.00024","3300.00024","72.1788254","34","75.18594"
"53.125","48.4375","45.3125","45.3125","39","36","39","36","3200.004","3200.004","2600.00317","1700.00208","72.211586","34","75.18594"
"9.375","20.3125","10.9375","15.625","36","35","38","36","899.999939","899.999939","899.999939","899.999939","72.1602","34","75.18594"
"12.5","14.0625","20.3125","17.1875","36","35","37","35","1199.99927","1199.99927","1199.99927","1199.99927","72.1637","34","75.1859741"
"20.3125","23.4375","17.1875","25","37","36","39","36","3300.009","3300.009","3300.009","3300.009","72.27965","34","75.1859741"
"17.1875","26.5625","23.4375","26.5625","37","36","37","36","1500.00061","800.0003","800.0003","800.0003","72.23707","34","75.1859741"
"14.0625","12.5","18.75","12.5","37","36","38","36","3300.00269","3300.00269","2800.0022","1900.00146","72.2948761","34","75.1859741"
"26.5625","23.4375","25","29.6875","37","36","38","36","899.999939","899.999939","1299.99988","1699.99988","72.1624","34","75.1859741"
"42.1875","46.875","45.3125","37.5","36","35","37","35","800.0003","800.0003","800.0003","800.0003","72.2920456","34","75.1859741"
"15.625","9.375","17.4603157","21.875","38","36","37","37","3300.00562","3300.00562","3300.00562","2700.00464","72.28218","34","75.1859741"
"10.9375","6.25","7.69230747","10.9375","36","35","37","35","799.9999","799.9999","799.9999","799.9999","72.2216949","34","75.1859741"
"10.9375","9.375","12.5","14.0625","38","36","38","36","3300.00439","3300.00439","800.0011","800.0011","72.24617","34","75.1859741"
"15.625","9.375","20.3125","9.375","36","35","37","35","2400.00122","3300.00146","3300.00146","3400.00171","72.23927","34","75.1859741"
"32.8125","18.75","26.5625","15.625","41","37","39","37","3300.003","3300.003","3300.003","3300.003","72.2518158","34","75.1859741"
"25","20.3125","21.875","15.625","37","36","38","36","3300.002","3100.002","3100.002","3300.002","72.22988","34","75.1859741"
"12.5","14.0625","9.375","10.9375","37","36","37","36","799.9999","2399.99951","2799.99951","3299.99951","72.19981","34","75.1859741"
"31.25","25","20.63492","20.3125","37","36","38","36","800.000549","800.000549","800.000549","800.000549","72.00277","34","75.1859741"
"1.5625","6.25","10.76923","9.375","36","35","37","35","1600.00159","1600.00159","1600.00159","800.0008","72.08079","34","75.1859741"
"6.25","4.6875","12.5","6.25","37","35","37","35","2400.002","2400.002","2400.002","3300.00269","72.04353","34","75.1859741"
"9.375","7.8125","3.125","12.5","39","37","38","36","3300.00269","3300.00269","3300.00269","2800.0022","72.00589","34","75.1859741"
"21.875","9.375","10.9375","7.8125","37","36","38","35","799.999939","799.999939","799.999939","799.999939","71.985054","34","75.1859741"
"21.875","20.3125","17.1875","9.375","37","35","38","36","3300.00415","3300.00415","3300.00415","2800.00342","71.93826","34","75.1859741"
"17.1875","10.9375","12.5","3.125","37","36","38","36","3100.00122","2200.00073","1300.00049","800.0003","71.92744","34","75.1859741"
"7.8125","6.25","3.125","3.125","36","34","37","36","3300.004","3300.004","2800.00317","1900.0022","71.92571","34","75.1859741"
"7.8125","3.125","6.25","10.9375","39","36","38","36","2900.00171","3300.002","3300.002","3300.002","71.95541","34","75.1859741"
"23.4375","20.3125","21.875","21.875","37","36","38","36","1199.99976","1199.99976","1599.99976","3299.99951","71.99889","34","75.1859741"
"14.0625","12.5","10.9375","9.375","37","36","37","36","800.0012","800.0012","800.0012","1600.00244","72.04099","34","75.1859741"
"14.0625","4.6875","3.125","7.8125","37","35","37","35","1900.001","1000.00055","800.0004","800.0004","72.02619","34","75.1859741"
"15.625","9.375","4.76190472","6.25","36","36","37","35","799.999939","799.999939","799.999939","799.999939","72.02533","34","75.1859741"
"9.375","4.6875","3.076923","6.25","36","35","36","35","1600.0011","2400.00171","3300.00244","3300.00244","72.01422","34","75.1859741"
"6.25","1.5625","3.174603","3.125","36","34","37","35","800.0006","800.0006","800.0006","800.0006","71.98405","34","75.1859741"
